xml_url,inXml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2015.xml,/wqxml/usr/20aply/idtcag/idtcagBizAplySelfTest_2015.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2015.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2015.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2015.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_20160428.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_20160428m.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2016.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_""+dc_searchMap.get(""BSNS_YY"")+"".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_""+dc_searchMap.get(""BSNS_YY"")+""m.xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/cmn/popup/callRDPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2017.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+"".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+""m.xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2018.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+"".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2019.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+"".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2020.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+"".xml"
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021.xml,/wqxml/usr/20aply/idtcag/idtcagPopup01.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021.xml,/wqxml/usr/20aply/idtcag/idtcagPopup02.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021.xml,/wqxml/cmn/popup/stdIndustPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,/wqxml/adm/31idtcag/bizMng/idtcagPrcafsChargerPart.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,/wqxml/cmn/popup/idtcagSchlPopup.xml
/wqxml/adm/31idtcag/bizMng/idtcagAplyInfo_2021_2.xml,"/wqxml/adm/31idtcag/bizMng/idtcagBizAplySelfTest_"" + dc_searchMap.get(""BSNS_YY"")+""_2.xml"
